               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.053048,            0.016709,                   0,             0.32839,             0.14837,             0.11178,            0.040025,            0.052735,           0.0097695,                   0,            0.009684,            0.009684,            0.009684
                  38,            0.057898,            0.018086,                   0,             0.30277,             0.21212,             0.11248,            0.033967,             0.05133,           0.0098318,                   0,           0.0096664,           0.0096664,           0.0096664
                  39,            0.053457,            0.017823,                   0,             0.27691,             0.27273,             0.15254,            0.045891,            0.055693,             0.01008,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,            0.053626,             0.01709,                   0,             0.21558,             0.33333,             0.14286,            0.047774,            0.050646,           0.0094093,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,            0.050879,            0.019251,                   0,             0.16874,             0.27273,             0.11266,             0.03855,             0.05063,            0.009669,                   0,            0.009611,            0.009611,            0.009611
                  42,            0.055969,            0.016285,                   0,             0.16311,             0.27273,             0.10307,            0.029732,            0.051543,           0.0097555,                   0,           0.0095916,           0.0095916,           0.0095916
                  43,            0.057545,            0.016651,                   0,             0.39805,             0.30067,              0.2089,            0.057126,            0.050629,            0.008806,                   0,           0.0095717,           0.0095717,           0.0095717
                  44,            0.052321,            0.019103,                   0,             0.42172,             0.27273,             0.18226,            0.050562,            0.051273,           0.0095982,                   0,           0.0095514,           0.0095514,           0.0095514
                  45,            0.055726,            0.015632,                   0,             0.38722,             0.21071,             0.19278,            0.053965,            0.051775,           0.0092079,                   0,           0.0095307,           0.0095307,           0.0095307
                  46,            0.048966,            0.015086,                   0,             0.15776,             0.36364,             0.14683,            0.048215,            0.052005,           0.0090346,                   0,           0.0095095,           0.0095095,           0.0095095
                  47,            0.053209,            0.015549,                   0,             0.23198,             0.32958,             0.21462,            0.044577,            0.054564,           0.0085517,                   0,           0.0094879,           0.0094879,           0.0094879
                  48,            0.051465,            0.017601,                   0,             0.29959,             0.36364,             0.27475,            0.079463,            0.052549,           0.0081482,                   0,           0.0094659,           0.0094659,           0.0094659
                  49,            0.051302,            0.018801,                   0,             0.42745,             0.36364,             0.32426,            0.089963,            0.052383,           0.0081855,                   0,           0.0094434,           0.0094434,           0.0094434
                  50,            0.051241,            0.015334,                   0,             0.49469,             0.33333,             0.30997,            0.093889,            0.053381,           0.0085264,                   0,           0.0094205,           0.0094205,           0.0094205
                  51,            0.054437,            0.017013,                   0,             0.47814,             0.33318,             0.29482,             0.08751,            0.051602,           0.0094091,                   0,           0.0093971,           0.0093971,           0.0093971
                  52,            0.052925,            0.017194,                   0,             0.25834,             0.42424,              0.1797,            0.073034,            0.049586,            0.010288,                   0,           0.0093733,           0.0093733,           0.0093733
                  53,            0.052602,            0.016418,                   0,             0.36777,             0.39394,             0.21156,              0.0693,            0.051778,           0.0082837,                   0,           0.0093491,           0.0093491,           0.0093491
                  54,            0.047443,            0.015088,                   0,             0.29024,             0.36364,             0.19337,              0.0454,             0.05295,           0.0090471,                   0,           0.0093245,           0.0093245,           0.0093245
                  55,            0.051107,            0.015199,                   0,             0.32426,             0.39394,             0.21988,            0.072245,            0.052418,           0.0089694,                   0,           0.0092995,           0.0092995,           0.0092995
                  56,            0.048115,            0.014573,                   0,             0.46682,             0.45114,              0.3746,            0.094262,            0.052406,           0.0095626,                   0,            0.009274,            0.009274,            0.009274
                  57,            0.047764,            0.015684,                   0,             0.59807,             0.27273,             0.25514,            0.099001,            0.052359,           0.0099182,                   0,           0.0092481,           0.0092481,           0.0092481
                  58,            0.053788,            0.015236,                   0,             0.68554,             0.33333,             0.30346,             0.10304,            0.052509,           0.0094527,                   0,           0.0092219,           0.0092219,           0.0092219
                  59,            0.051697,            0.015417,                   0,             0.44652,             0.39394,             0.27702,            0.095669,            0.051545,           0.0098033,                   0,           0.0091952,           0.0091952,           0.0091952
                  60,            0.048158,            0.013144,                   0,             0.46137,             0.36364,             0.24253,            0.088818,            0.051309,            0.009182,                   0,           0.0091681,           0.0091681,           0.0091681
                  61,            0.050347,            0.015187,                   0,             0.72969,             0.33333,             0.33475,            0.095406,            0.056208,           0.0097116,                   0,           0.0091406,           0.0091406,           0.0091406
                  62,            0.052651,            0.015685,                   0,             0.49614,             0.39394,             0.31957,             0.12689,            0.054751,           0.0082809,                   0,           0.0091127,           0.0091127,           0.0091127
                  63,             0.04694,            0.016194,                   0,             0.41304,             0.39394,             0.28496,            0.085037,             0.05314,            0.008312,                   0,           0.0090844,           0.0090844,           0.0090844
                  64,            0.046364,            0.014859,                   0,             0.23797,             0.45455,             0.19273,            0.061118,            0.054793,           0.0089549,                   0,           0.0090557,           0.0090557,           0.0090557
                  65,             0.04832,            0.013959,                   0,              0.4669,             0.42424,             0.35104,            0.090787,            0.055402,           0.0091853,                   0,           0.0090266,           0.0090266,           0.0090266
                  66,            0.048716,            0.014482,                   0,             0.44985,             0.27273,             0.27954,             0.07328,             0.05494,           0.0084686,                   0,           0.0089972,           0.0089972,           0.0089972
                  67,             0.04664,             0.01468,                   0,             0.49632,             0.32865,             0.28416,              0.0885,            0.057985,           0.0079022,                   0,           0.0089673,           0.0089673,           0.0089673
                  68,            0.045527,            0.016354,                   0,             0.37858,             0.30303,             0.26147,             0.10724,            0.055167,           0.0081931,                   0,           0.0089371,           0.0089371,           0.0089371
                  69,            0.045535,            0.015245,                   0,              0.3861,             0.27273,             0.27312,             0.11794,            0.053211,           0.0082582,                   0,           0.0089065,           0.0089065,           0.0089065
                  70,            0.047182,            0.015131,                   0,             0.59611,             0.27273,             0.33065,             0.10083,            0.051967,            0.008584,                   0,           0.0088755,           0.0088755,           0.0088755
                  71,            0.045358,            0.014435,                   0,             0.47807,             0.33308,             0.30846,            0.097634,            0.054081,           0.0084121,                   0,           0.0088442,           0.0088442,           0.0088442
                  72,            0.047205,              0.0127,                   0,             0.27892,             0.27273,             0.16204,            0.044032,             0.05237,           0.0090163,                   0,           0.0088124,           0.0088124,           0.0088124
                  73,            0.044192,            0.015285,                   0,             0.39736,             0.42424,             0.28201,              0.0728,            0.054154,            0.008819,                   0,           0.0087804,           0.0087804,           0.0087804
                  74,            0.045168,            0.014223,                   0,             0.27553,             0.36364,             0.18217,            0.046984,            0.053634,            0.010063,                   0,           0.0087479,           0.0087479,           0.0087479
                  75,            0.042166,            0.013166,                   0,             0.31261,             0.33333,              0.1883,            0.067135,            0.054979,            0.010092,                   0,           0.0087151,           0.0087151,           0.0087151
                  76,            0.046688,            0.014808,                   0,             0.44725,             0.39394,             0.26554,            0.085661,            0.053336,           0.0098295,                   0,            0.008682,            0.008682,            0.008682
                  77,            0.047756,            0.014354,                   0,              0.3415,             0.39394,             0.23862,            0.072105,             0.05283,            0.010649,                   0,           0.0086485,           0.0086485,           0.0086485
                  78,              0.0434,            0.012405,                   0,             0.37161,             0.36364,             0.20675,            0.065283,            0.054792,           0.0098152,                   0,           0.0086146,           0.0086146,           0.0086146
                  79,             0.04772,            0.013902,                   0,             0.39339,             0.39306,             0.27783,            0.091923,            0.055138,           0.0094875,                   0,           0.0085805,           0.0085805,           0.0085805
                  80,            0.047396,            0.014872,                   0,             0.36946,             0.30303,             0.18283,            0.061965,            0.054111,           0.0085387,                   0,           0.0085459,           0.0085459,           0.0085459
                  81,            0.043471,            0.014938,                   0,             0.49903,             0.27273,             0.24495,            0.082665,            0.051835,            0.009201,                   0,           0.0085111,           0.0085111,           0.0085111
                  82,            0.046933,            0.014669,                   0,              0.4999,             0.30292,             0.22308,            0.082533,            0.054689,           0.0087778,                   0,           0.0084759,           0.0084759,           0.0084759
                  83,            0.046029,            0.014076,                   0,             0.43691,             0.42424,               0.275,            0.082393,            0.052376,           0.0088552,                   0,           0.0084404,           0.0084404,           0.0084404
                  84,            0.045828,            0.015553,                   0,             0.40488,             0.39394,             0.24578,            0.092224,            0.049701,           0.0089075,                   0,           0.0084046,           0.0084046,           0.0084046
                  85,            0.043338,            0.013181,                   0,             0.40573,             0.39394,             0.25788,             0.08599,            0.048523,             0.01007,                   0,           0.0083684,           0.0083684,           0.0083684
                  86,              0.0447,            0.013082,                   0,             0.37009,             0.30303,             0.23842,            0.078107,            0.051637,           0.0098485,                   0,           0.0083319,           0.0083319,           0.0083319
                  87,            0.046204,            0.014842,                   0,             0.42632,             0.36364,              0.2129,            0.061071,            0.052682,           0.0082859,                   0,           0.0082952,           0.0082952,           0.0082952
                  88,            0.042239,            0.013006,                   0,             0.49966,              0.3329,             0.27934,            0.075214,            0.051772,           0.0083589,                   0,           0.0082581,           0.0082581,           0.0082581
                  89,            0.045553,             0.01239,                   0,             0.45521,             0.32932,             0.27049,            0.075475,             0.04986,           0.0082106,                   0,           0.0082207,           0.0082207,           0.0082207
                  90,            0.046405,            0.013643,                   0,             0.43982,             0.33309,             0.23359,            0.075942,            0.051232,           0.0081348,                   0,            0.008183,            0.008183,            0.008183
                  91,            0.040477,            0.013445,                   0,             0.46605,             0.42424,             0.29136,             0.10074,            0.052892,           0.0081069,                   0,            0.008145,            0.008145,            0.008145
                  92,            0.039146,            0.013701,                   0,             0.40419,             0.32906,             0.26469,            0.078658,            0.051786,           0.0079921,                   0,           0.0081068,           0.0081068,           0.0081068
                  93,             0.04095,            0.013063,                   0,             0.54959,             0.48485,              0.4103,             0.10842,            0.049176,           0.0081907,                   0,           0.0080682,           0.0080682,           0.0080682
                  94,            0.042776,            0.013644,                   0,             0.46417,             0.39394,             0.24759,            0.075962,            0.049893,           0.0080581,                   0,           0.0080294,           0.0080294,           0.0080294
                  95,            0.039618,            0.015466,                   0,             0.51836,             0.42424,              0.3686,             0.09338,            0.051549,           0.0080136,                   0,           0.0079903,           0.0079903,           0.0079903
                  96,            0.040712,            0.012886,                   0,             0.49916,             0.51515,              0.3638,             0.10992,             0.04983,           0.0082703,                   0,           0.0079509,           0.0079509,           0.0079509
                  97,            0.040413,            0.012957,                   0,             0.46329,             0.42424,              0.3388,            0.082104,            0.050641,           0.0082582,                   0,           0.0079112,           0.0079112,           0.0079112
                  98,            0.042061,            0.013433,                   0,              0.6814,             0.45371,             0.44664,            0.089013,            0.052645,           0.0086329,                   0,           0.0078713,           0.0078713,           0.0078713
                  99,            0.039313,            0.013087,                   0,             0.51539,             0.48485,             0.34177,              0.1003,            0.052706,            0.008888,                   0,           0.0078311,           0.0078311,           0.0078311
                 100,            0.042233,            0.015018,                   0,             0.64458,             0.33333,               0.339,             0.10311,            0.053938,            0.008735,                   0,           0.0077907,           0.0077907,           0.0077907
                 101,            0.040065,            0.012446,                   0,             0.55831,             0.42424,             0.33866,             0.10066,            0.053754,           0.0090258,                   0,             0.00775,             0.00775,             0.00775
                 102,            0.040096,            0.014393,                   0,             0.73051,             0.32884,             0.31898,            0.090519,            0.053558,           0.0086438,                   0,           0.0077091,           0.0077091,           0.0077091
                 103,             0.04118,            0.013164,                   0,             0.78445,             0.33333,             0.40726,             0.13923,            0.052074,           0.0087825,                   0,           0.0076679,           0.0076679,           0.0076679
                 104,            0.042944,             0.01248,                   0,             0.66438,             0.36364,             0.37289,             0.13158,            0.051242,           0.0085929,                   0,           0.0076265,           0.0076265,           0.0076265
                 105,            0.038975,            0.011551,                   0,              0.6823,             0.33333,             0.34017,             0.10685,            0.053596,            0.008924,                   0,           0.0075848,           0.0075848,           0.0075848
                 106,            0.042793,             0.01425,                   0,             0.35503,             0.48485,              0.2895,            0.099597,            0.054188,           0.0088268,                   0,            0.007543,            0.007543,            0.007543
                 107,            0.040448,            0.011849,                   0,             0.50286,             0.39394,              0.3724,             0.10298,            0.054507,           0.0094401,                   0,           0.0075009,           0.0075009,           0.0075009
                 108,             0.04108,            0.012337,                   0,             0.60642,             0.42424,             0.41944,             0.11066,            0.053904,           0.0094435,                   0,           0.0074585,           0.0074585,           0.0074585
                 109,             0.04365,            0.014955,                   0,             0.55542,             0.30288,             0.30586,              0.0924,            0.052378,           0.0094293,                   0,            0.007416,            0.007416,            0.007416
                 110,              0.0388,            0.013425,                   0,             0.35278,             0.36364,             0.23009,            0.068133,            0.051327,           0.0092068,                   0,           0.0073733,           0.0073733,           0.0073733
                 111,            0.037779,            0.012533,                   0,             0.44414,             0.36321,              0.2716,            0.065481,            0.049987,           0.0084025,                   0,           0.0073303,           0.0073303,           0.0073303
                 112,            0.039271,            0.013507,                   0,             0.57861,             0.33289,             0.29309,            0.074803,            0.049442,           0.0082526,                   0,           0.0072872,           0.0072872,           0.0072872
                 113,            0.039182,            0.011897,                   0,              0.4452,             0.39394,             0.34077,            0.074552,            0.051472,           0.0085827,                   0,           0.0072438,           0.0072438,           0.0072438
                 114,            0.038419,            0.012843,                   0,             0.43213,             0.48485,             0.32959,            0.086564,            0.052511,           0.0089728,                   0,           0.0072003,           0.0072003,           0.0072003
                 115,            0.041625,            0.013627,                   0,             0.42283,             0.33333,             0.22269,             0.06683,            0.053321,           0.0095325,                   0,           0.0071566,           0.0071566,           0.0071566
                 116,            0.043419,             0.01351,                   0,             0.43975,             0.33333,             0.24817,            0.064318,            0.053876,           0.0093019,                   0,           0.0071127,           0.0071127,           0.0071127
