               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089814,            0.027269,                   0,                   0,                   0,                   0,                   0,            0.090322,            0.023615,                   0,             0.00035,             0.00035,             0.09685
                   1,            0.080284,            0.024802,                   0,                   0,                   0,                   0,                   0,            0.090057,             0.02223,                   0,          0.00070998,          0.00070998,             0.09361
                   2,            0.082988,            0.022397,                   0,                   0,                   0,                   0,                   0,            0.090035,            0.020394,                   0,           0.0010699,           0.0010699,             0.09037
                   3,            0.083633,            0.019964,                   0,                   0,                   0,                   0,                   0,            0.090157,             0.01795,                   0,           0.0014297,           0.0014297,             0.08713
                   4,            0.077239,            0.018081,                   0,                   0,                   0,                   0,                   0,            0.088567,            0.017631,                   0,           0.0017893,           0.0017893,            0.083889
                   5,            0.088883,            0.017933,                   0,                   0,                   0,                   0,                   0,            0.088652,            0.015717,                   0,           0.0021487,           0.0021487,            0.080649
                   6,            0.071352,            0.014976,                   0,                   0,                   0,                   0,                   0,            0.088228,            0.014445,                   0,           0.0025078,           0.0025078,            0.077408
                   7,            0.080089,            0.014866,                   0,                   0,                   0,                   0,                   0,            0.087824,            0.013246,                   0,           0.0028665,           0.0028665,            0.074167
                   8,            0.078185,            0.014835,                   0,                   0,                   0,                   0,                   0,            0.086306,            0.012357,                   0,           0.0032249,           0.0032249,            0.070925
                   9,            0.072956,            0.013835,                   0,                   0,                   0,                   0,                   0,            0.086717,              0.0114,                   0,           0.0035828,           0.0035828,            0.067683
                  10,            0.068367,            0.012846,                   0,                   0,                   0,                   0,                   0,             0.08658,            0.011064,                   0,           0.0039403,           0.0039403,             0.06444
                  11,            0.075046,            0.014168,                   0,                   0,                   0,                   0,                   0,            0.086136,            0.010364,                   0,           0.0042971,           0.0042971,            0.061197
                  12,              0.0718,            0.014245,                   0,                   0,                   0,                   0,                   0,            0.085328,            0.010184,                   0,           0.0046534,           0.0046534,            0.057953
                  13,            0.064845,            0.012898,                   0,                   0,                   0,                   0,                   0,            0.083448,            0.010308,                   0,           0.0050091,           0.0050091,            0.054709
                  14,            0.068428,            0.014108,                   0,                   0,                   0,                   0,                   0,            0.085296,           0.0092974,                   0,            0.005364,            0.005364,            0.051464
                  15,            0.062385,            0.012404,                   0,                   0,                   0,                   0,                   0,            0.084354,           0.0091064,                   0,           0.0057181,           0.0057181,            0.048218
                  16,            0.066126,            0.014766,                   0,                   0,                   0,                   0,                   0,            0.083539,           0.0093244,                   0,           0.0060715,           0.0060715,            0.044971
                  17,            0.064493,             0.01303,                   0,                   0,                   0,                   0,                   0,            0.086249,           0.0086744,                   0,            0.006424,            0.006424,            0.041724
                  18,            0.066261,            0.012159,                   0,           0.0011111,             0.16667,          0.00073708,          0.00014742,             0.08618,            0.009278,                   0,           0.0067756,           0.0067756,            0.038476
                  19,            0.057933,            0.011661,                   0,           0.0022222,             0.33333,           0.0018073,          0.00036146,            0.089304,           0.0082864,                   0,           0.0071262,           0.0071262,            0.035226
                  20,             0.06403,            0.014549,                   0,           0.0095154,             0.16667,           0.0037349,          0.00099731,             0.08067,           0.0093614,                   0,           0.0074758,           0.0074758,            0.031976
                  21,            0.061508,            0.014005,                   0,            0.010978,             0.16667,           0.0022981,          0.00022981,            0.081888,           0.0086443,                   0,           0.0078243,           0.0078243,            0.028724
                  22,            0.059278,            0.011828,                   0,            0.018729,             0.16667,            0.012015,           0.0021084,            0.079738,           0.0095691,                   0,           0.0081717,           0.0081717,            0.025472
                  23,            0.063031,            0.012747,                   0,           0.0071894,             0.16667,           0.0020362,          0.00020362,            0.080351,           0.0080022,                   0,           0.0085179,           0.0085179,            0.022218
                  24,            0.060075,            0.011784,                   0,           0.0061315,             0.16667,           0.0020985,          0.00062954,            0.079605,            0.008306,                   0,           0.0088629,           0.0088629,            0.018963
                  25,            0.058688,            0.013075,                   0,            0.028539,             0.16667,           0.0098798,          0.00098798,            0.079179,           0.0088983,                   0,           0.0092066,           0.0092066,            0.015707
                  26,            0.056031,            0.011513,                   0,             0.02081,             0.16667,           0.0075242,           0.0025983,            0.072134,           0.0095621,                   0,            0.009549,            0.009549,            0.012449
                  27,            0.054093,            0.012103,                   0,           0.0055234,             0.16667,           0.0030482,           0.0016267,            0.076594,           0.0085851,                   0,           0.0098213,           0.0098213,           0.0098213
                  28,            0.057736,            0.012268,                   0,           0.0044934,             0.33333,           0.0028913,          0.00044004,            0.077234,           0.0092059,                   0,           0.0098213,           0.0098213,           0.0098213
                  29,            0.055816,            0.011763,                   0,            0.027461,             0.16667,            0.010023,             0.00253,            0.078361,           0.0087234,                   0,           0.0098079,           0.0098079,           0.0098079
                  30,            0.057838,            0.011771,                   0,            0.069428,             0.16667,            0.012251,           0.0061253,            0.077266,           0.0090729,                   0,           0.0097941,           0.0097941,           0.0097941
                  31,            0.057105,            0.012112,                   0,            0.074752,             0.16667,            0.013157,           0.0013157,            0.077798,           0.0088286,                   0,           0.0097798,           0.0097798,           0.0097798
                  32,            0.053995,            0.011361,                   0,            0.076005,             0.16667,            0.016965,           0.0050894,            0.078121,           0.0085637,                   0,            0.009765,            0.009765,            0.009765
