               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.057071,            0.024131,                   0,             0.35882,             0.50691,             0.31022,            0.090304,            0.055629,            0.020007,                   0,            0.009684,            0.009684,            0.009684
                  38,            0.057482,             0.02541,                   0,             0.58975,             0.54348,             0.51691,             0.16037,            0.054193,            0.020788,                   0,           0.0096664,           0.0096664,           0.0096664
                  39,            0.056045,            0.024162,                   0,             0.59648,              0.3913,             0.42863,             0.12073,            0.054947,            0.020829,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,            0.054664,            0.024327,                   0,             0.63901,             0.42754,             0.44984,             0.13268,            0.053223,            0.020733,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,            0.055397,            0.023565,                   0,              0.4369,             0.42754,             0.37369,             0.11916,            0.054734,            0.019898,                   0,            0.009611,            0.009611,            0.009611
                  42,            0.055808,            0.024594,                   0,             0.42608,             0.61594,              0.4367,             0.12492,            0.052824,            0.019846,                   0,           0.0095916,           0.0095916,           0.0095916
                  43,            0.055939,            0.024813,                   0,             0.44239,             0.51449,             0.43484,             0.13041,            0.054216,            0.021526,                   0,           0.0095717,           0.0095717,           0.0095717
                  44,            0.054194,            0.023842,                   0,             0.48028,             0.44928,             0.37913,            0.092442,            0.055355,            0.019464,                   0,           0.0095514,           0.0095514,           0.0095514
                  45,            0.055317,            0.024267,                   0,             0.45689,             0.43478,             0.34835,             0.11127,             0.05531,            0.020101,                   0,           0.0095307,           0.0095307,           0.0095307
                  46,            0.053922,            0.024566,                   0,             0.47224,             0.45652,             0.34647,            0.081482,            0.055586,            0.020948,                   0,           0.0095095,           0.0095095,           0.0095095
                  47,            0.053228,             0.02363,                   0,             0.49108,             0.60145,             0.46914,             0.13426,            0.051606,            0.020914,                   0,           0.0094879,           0.0094879,           0.0094879
                  48,            0.054203,            0.022685,                   0,             0.45702,             0.47826,              0.3804,             0.11523,            0.052729,            0.020342,                   0,           0.0094659,           0.0094659,           0.0094659
                  49,            0.052677,            0.023254,                   0,               0.448,                 0.5,             0.36825,             0.10066,            0.053749,            0.020338,                   0,           0.0094434,           0.0094434,           0.0094434
                  50,            0.053056,            0.023836,                   0,             0.41637,             0.57246,              0.3872,              0.1114,             0.05206,            0.019541,                   0,           0.0094205,           0.0094205,           0.0094205
                  51,            0.052495,            0.024575,                   0,             0.52424,             0.54348,             0.49151,             0.15551,            0.051797,            0.020087,                   0,           0.0093971,           0.0093971,           0.0093971
                  52,            0.052509,            0.024583,                   0,             0.50901,             0.57971,             0.48256,              0.1559,            0.053049,            0.019751,                   0,           0.0093733,           0.0093733,           0.0093733
                  53,            0.050869,            0.023893,                   0,             0.55953,             0.54348,             0.50251,             0.16374,            0.051869,            0.019072,                   0,           0.0093491,           0.0093491,           0.0093491
                  54,            0.052887,            0.024193,                   0,             0.54131,             0.61572,             0.49647,              0.1841,            0.049543,            0.020025,                   0,           0.0093245,           0.0093245,           0.0093245
                  55,            0.050886,            0.023815,                   0,             0.57049,             0.49275,             0.48516,             0.14811,            0.051991,            0.018442,                   0,           0.0092995,           0.0092995,           0.0092995
                  56,            0.050457,            0.023336,                   0,             0.59312,              0.5942,             0.57003,             0.19563,            0.047884,            0.019457,                   0,            0.009274,            0.009274,            0.009274
                  57,            0.051724,            0.024509,                   0,             0.49032,             0.56467,             0.51305,             0.17593,            0.049392,            0.020189,                   0,           0.0092481,           0.0092481,           0.0092481
                  58,            0.049521,            0.022841,                   0,             0.49105,             0.63768,             0.53948,             0.18052,            0.050647,            0.021075,                   0,           0.0092219,           0.0092219,           0.0092219
                  59,            0.050253,             0.02295,                   0,             0.56191,             0.58556,             0.57424,             0.20803,            0.049123,            0.018765,                   0,           0.0091952,           0.0091952,           0.0091952
                  60,            0.048765,            0.022232,                   0,             0.60787,             0.52899,             0.52095,             0.17302,            0.050809,            0.018811,                   0,           0.0091681,           0.0091681,           0.0091681
                  61,            0.050139,            0.024639,                   0,             0.52901,             0.52174,             0.47214,             0.14465,            0.051855,            0.020215,                   0,           0.0091406,           0.0091406,           0.0091406
                  62,            0.049729,            0.023749,                   0,             0.64958,             0.57971,             0.53678,             0.17464,            0.049741,            0.019019,                   0,           0.0091127,           0.0091127,           0.0091127
                  63,            0.051592,            0.022566,                   0,             0.43866,             0.55072,             0.46937,             0.14189,            0.055987,              0.0195,                   0,           0.0090844,           0.0090844,           0.0090844
                  64,            0.051864,            0.023282,                   0,             0.56276,             0.57971,             0.55769,             0.16105,            0.050835,              0.0182,                   0,           0.0090557,           0.0090557,           0.0090557
                  65,            0.048704,            0.022523,                   0,             0.61719,             0.60752,             0.58976,              0.1798,            0.049593,            0.018951,                   0,           0.0090266,           0.0090266,           0.0090266
                  66,            0.050272,            0.022246,                   0,             0.56478,             0.55797,             0.52654,              0.1663,            0.049381,            0.019737,                   0,           0.0089972,           0.0089972,           0.0089972
                  67,            0.049847,            0.023059,                   0,             0.64267,             0.45615,             0.51156,             0.17366,            0.049314,            0.019216,                   0,           0.0089673,           0.0089673,           0.0089673
                  68,            0.047539,            0.022511,                   0,             0.63438,             0.62319,             0.60535,             0.21091,            0.047209,            0.018862,                   0,           0.0089371,           0.0089371,           0.0089371
                  69,            0.048343,            0.022682,                   0,             0.50531,             0.63043,             0.50524,             0.17179,            0.048113,               0.021,                   0,           0.0089065,           0.0089065,           0.0089065
                  70,            0.049466,            0.023425,                   0,             0.64776,             0.58696,             0.58941,             0.20806,            0.047604,            0.020067,                   0,           0.0088755,           0.0088755,           0.0088755
                  71,            0.047074,             0.02153,                   0,             0.62784,             0.63768,             0.63423,             0.20865,            0.048472,            0.018835,                   0,           0.0088442,           0.0088442,           0.0088442
                  72,             0.04742,            0.021734,                   0,             0.68206,              0.6087,             0.61357,             0.20981,            0.048122,            0.019365,                   0,           0.0088124,           0.0088124,           0.0088124
                  73,             0.04712,            0.022989,                   0,             0.69588,             0.56375,             0.65028,             0.23339,            0.046423,            0.018248,                   0,           0.0087804,           0.0087804,           0.0087804
                  74,            0.047074,            0.023051,                   0,             0.58806,             0.57246,             0.57322,             0.18435,            0.049552,            0.018291,                   0,           0.0087479,           0.0087479,           0.0087479
                  75,            0.046392,             0.02289,                   0,             0.59241,             0.60145,             0.56528,             0.19675,            0.046303,            0.019188,                   0,           0.0087151,           0.0087151,           0.0087151
